Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
The rights for each user to operate functions and to see data on different levels in the object hierarchy might be necessary to set.,Security,elsfork.pdf,1,Кирилл,,Integrity,Aydar,,System Support,1,,,,
In that way all users can have relevant access to the sys- tem and get updated information from the wind power plants.,Security,elsfork.pdf,1,Кирилл,,Availability,Aydar,,Administrative Services,9,,,,
"Non-corruption of data transferred is necessary, i.e. the ability of a communication system to deliver data from its originator to its destination with an acceptable residual error rate.",Security,elsfork.pdf,1,Кирилл,,Integrity,Aydar,,Presentation Services,3,,,,
This prevents both malicious and false operation.,Security,elsfork.pdf,1,Кирилл,,Integrity,Aydar,,External Requirements,1,,,,
"Data items transferred might need to be encrypted to prevent both malicious and false opera- tion, as well as eavesdropping.",Security,elsfork.pdf,1,Кирилл,,Integrity,Aydar,,Specific Requirements,3,,,,
The APAF system web server shall be password protected where appropriate to allow only pertinent ASPERA-3 team members access.,Security,esa.pdf,1,Кирилл,,Confidentiality,Aydar,,Nonfunctional Requirements,6,,,,
The user shall not be required to log in or authenticate his/her identity when using the system.,Security,hats.pdf,1,Кирилл,,Confidentiality,Aydar,,Functionality,5,,,,
"The NPAC will accept only authorized NPAC customers through interface connections, and among NPAC customers, the NPAC will make appropriate limitations on their actions (for example, letting only old or new Service Providers view a pending record). The NPAC will only accept authorized customer user IDs. However, the NPAC will make no distinction among an NPAC customer’s employees; the NPAC customer and their systems must control individual NPAC customer employee actions.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,Interfaces,2,,,,
"A user identification is a unique, auditable representation of the user's identity within the system. The NPAC SMS requires all system users, both individuals and remote machines, to be uniquely identified to support individual accountability over the NPAC Administrative and NPAC SOA Low-tech Interfaces.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,Configuration & Administration Service (CAS),4,,,,
NPAC SMS shall require unique user identification codes (userids) to identify all NPAC and Service Provider personnel.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,Configuration & Administration User Interface (CAUI),2,,,,
NPAC SMS shall require NPAC and Service Provider personnel to identify themselves with their assigned userId before performing any actions.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,ACCESS_CONTROL_IDENTITY,45,,,,
NPAC SMS shall maintain internally the identity of all NPAC and Service Provider personnel logged on to the NPAC SMS.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,ACCOUNTABILITY,74,,,,
NPAC SMS shall have for every process running an associated userId of the invoking user (or the userId associated with the invoking process).,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,PRIVACY,26,,,,
NPAC SMS shall disable userids after a period of time during which the userId has not been used.,Security,npac.doc,1,Кирилл,,Access control,Aydar,,"ACCESS_CONTROL_IDENTITY,INTEGRITY",2,,,,
NPAC SMS shall provide an Unused Userid Disable Period tunable parameter which is defined as the number of days for which the userId has not been used.,Security,npac.doc,1,Кирилл,,Access control,Aydar,,INTEGRITY,46,,,,
NPAC SMS shall allow the NPAC SMS administrator to modify the Unused Userid Disable Period tunable parameter time period.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,CONFIDENTIALITY,52,,,,
NPAC SMS shall default the Unused Userid Disable Period tunable parameter to 60 days.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"ACCESS_CONTROL_IDENTITY,CONFIDENTIALITY",3,,,,
NPAC SMS shall provide a complementary mechanism or procedure for the re‑instatement disabled userids.,Security,npac.doc,1,Кирилл,,Availability,Aydar,Not sure,"CONFIDENTIALITY,PRIVACY",2,,,,
NPAC SMS shall provide a procedure for the deletion of userids.,Security,npac.doc,1,Кирилл,,Other,Aydar,Not sure,AVAILABILITY,12,,,,
NPAC SMS shall support the temporary disabling of userids.,Security,npac.doc,1,Кирилл,,Other,Aydar,Not sure,INTEGRITY_IMMUNITY,2,,,,
NPAC SMS shall provide an option for automatic reactivation of disabled userids.,Security,npac.doc,1,Кирилл,,Other,Aydar,Not sure,"CONFIDENTIALITY,ACCOUNTABILITY",6,,,,
NPAC SMS shall control and limit simultaneous active usage of the same userids by allowing only one active login.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"AVAILABILITY,INTEGRITY",2,,,,
"NPAC SMS shall present the NPAC or Service Provider personnel with an option of disconnecting the first login and continuing the second login or terminating the second login, when a second login is entered.",Security,npac.doc,1,Кирилл,,Access control,Aydar,,MANAGEMENT,57,,,,
"The identity of all NPAC SMS system users, both individuals and remote machines, must be verified or authenticated to enter the system, and to access restricted data or transactions over the NPAC Administrative and NPAC SOA Low-Tech Interfaces.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,OPERATIONAL,58,,,,
NPAC SMS shall authenticate the identity of all NPAC and Service Provider users of the NPAC Administrative and NPAC SOA Low-tech Interfaces prior to their initially gaining access to NPAC SMS.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"MANAGEMENT,PRIVACY",1,,,,
NPAC SMS shall protect all internal storage of authentication data so that it can only be accessed by an NPAC Security Administrator user.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,"CONFIDENTIALITY,INTEGRITY",2,,,,
NPAC SMS shall require a single password entry for each userId.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"PRIVACY,ACCOUNTABILITY",1,,,,
NPAC SMS shall allow a user to define a password that is already associated with another userId.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"PRIVACY,CONFIDENTIALITY",2,,,,
NPAC SMS shall store passwords in a one‑way encrypted form.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,"CONFIDENTIALITY,OPERATIONAL",1,,,,
NPAC SMS shall only allow access to encrypted passwords by authorized users.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"PRIVACY,ACCOUNTABILITY,CONFIDENTIALITY",1,,,,
NPAC SMS shall automatically suppress or fully blot out the clear‑text representation of the password on the data entry device.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,MANAGEMENT",1,,,,
NPAC SMS shall ensure that passwords sent over public or external shared data networks are encrypted.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"MANAGEMENT,CONFIDENTIALITY",1,,,,
NPAC SMS shall require non-null passwords.,Security,npac.doc,1,Кирилл,,Access control,Aydar,,"CONFIDENTIALITY,INTEGRITY,AVAILABILITY",2,,,,
NPAC SMS shall provide a mechanism to allow passwords to be user‑changeable. This mechanism shall require re‑authentication of the user identity.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,INTEGRITY,AVAILABILITY",1,,,,
The NPAC SMS shall have a mechanism to reset passwords.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,CONFIDENTIALITY",1,,,,
NPAC SMS shall enforce password aging.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"AVAILABILITY_SURVIVABILITY,OPERATIONAL",1,,,,
NPAC SMS shall default the system password aging to 90 days.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"CONFIDENTIALITY,INTEGRITY,OPERATIONAL,MANAGEMENT",1,,,,
NPAC SMS shall notify users a NPAC‑specifiable period of time prior to their password expiring. The system supplied default shall be seven days.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,INTEGRITY_IMMUNITY",1,,,,
NPAC SMS shall default the password expiration notification time period to seven days,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"AVAILABILITY,OPERATIONAL",1,,,,
NPAC SMS shall require any user whose password has expired to enter a new password before allowing that user access to the system.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,PRIVACY",1,,,,
NPAC SMS shall ensure that a password can not be reused by the same individual for specifiable period of time.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,CONFIDENTIALITY,PRIVACY",1,,,,
NPAC SMS shall default the time period in which a password can not be reused to six months.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"AVAILABILITY,ACCOUNTABILITY",4,,,,
Passwords shall contain a combination of at least six case-sensitive alphanumeric characters including at least one alphabetic and one numeric or punctuation character.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"AVAILABILITY,OPERATIONAL,ACCOUNTABILITY",1,,,,
NPAC SMS shall ensure that passwords do not contain the associated userId.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"INTEGRITY,CONFIDENTIALITY",3,,,,
NPAC SMS shall provide a password generator.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"INTEGRITY,CONFIDENTIALITY,ACCOUNTABILITY",1,,,,
"NPAC SMS shall ensure that generated passwords are ""reasonably"" resistant to brute‑force password guessing attacks.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"CONFIDENTIALITY,ACCESS_CONTROL_IDENTITY",1,,,,
NPAC SMS shall ensure that the generated sequence of passwords have the property of randomness.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,AVAILABILITY_SURVIVABILITY,1,,,,
NPAC SMS shall allow access to authorized individual users.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"AVAILABILITY_SURVIVABILITY,CONFIDENTIALITY,INTEGRITY",2,,,,
NPAC SMS shall allow access to authorized remote systems.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,"OPERATIONAL,AVAILABILITY",1,,,,
NPAC SMS shall provide a facility for the initial entry of authorized user and associated authentication information.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"ACCOUNTABILITY,CONFIDENTIALITY",2,,,,
NPAC SMS shall provide a facility for the modification of authorized user and associated authentication information.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,"ACCESS_CONTROL_IDENTITY,ACCOUNTABILITY",1,,,,
"NPAC SMS's login procedure shall be able to be reliably initiated by the user, i.e., a trusted communications path should exist between NPAC SMS and the user during the login procedure.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,"OPERATIONAL,INTEGRITY",1,,,,
NPAC SMS shall disconnect end users after a period of non‑use.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,TECHNICAL,1,,,,
NPAC SMS shall default the Non-use Disconnect tunable parameter to 60 minutes.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,0,,,,
NPAC SMS shall exit and end the session if the user authentication procedure is incorrectly performed a specifiable number of times.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall default the number of allowable incorrect login attempts to 3.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to immediately notify the NPAC SMS system administrator when the threshold in R7-33.1 is exceeded.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall restart the login process when the threshold in R7-33.1 has been exceeded and a specified interval of time has passed.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall default the time interval to restart the login process to 60 seconds.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall not suspend the userId upon exceeding the threshold in R7-33.1.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall perform the entire user authentication procedure even if the userId that was entered was not valid.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall only provide error feedback of ""invalid"".",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall provide a mechanism to restrict user login based on time-of-day, day‑of‑week, and calendar date.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to restrict user login based on method of entry.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to restrict user login based on user system location.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to limit the users authorized to access the system via dial‑up facilities.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to limit system entry for privileged NPAC SMS users on a specifiable network access.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to limit system entry for privileged NPAC SMS users on a specifiable per‑port basis.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a strong authentication mechanism for network access.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall use authentication of public encryption keys for users accessing the NPAC SMS over the Internet.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall use smart cards to authenticate users accessing the NPAC SMS via dial-up.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to end the session through secure logoff procedures.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall ensure that the message is NPAC SMS‑specifiable to meet their own requirements, and any applicable laws.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall be able to display an advisory warning message of up to 20 lines in length prior to login.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall default the pre-login advisory warning message to the following:,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall display the date and time of the user's last successful system access upon successful login.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall display the number of unsuccessful attempts by that userId to access the system, since the last successful access by that userId upon successful login.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall only allow the NPAC Security Administrator to authorize users.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall only allow the NPAC Security Administrator to revoke users.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide security documentation that defines and describes procedures for adding users.,Security,npac.doc,1,Кирилл,,Operational,Aydar,Not sure,,,,,,
NPAC SMS shall provide security documentation that defines and describes procedures for deleting users.,Security,npac.doc,1,Кирилл,,Operational,Aydar,Not sure,,,,,,
NPAC SMS shall allow only authorized users to access the data that is part of or controlled by the SMS system.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall protect service provider data from access by unauthorized users.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that only NPAC system administrators can access the software files that constitute the NPAC SMS.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that only authorized users can access the transactions that constitute the NPAC SMS.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that only authorized NPAC Administrative and NPAC SOA Low-tech Interfaces users can access the data generated by the transactions that constitutes the SMS.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall ensure that the executable and loadable software is access controlled for overwrite and update, as well as execution rights.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that control of access to resources is based on authenticated user identification.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that userId and password is used as a primary access control for direct login and system ID is used for primary access control to the SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall ensure that for software resources controlled by NPAC SMS, it must be possible to grant access rights to a single user or a group of users.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall ensure that for software resources controlled by NPAC SMS, it must be possible to deny access rights to a single user or a group of users.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall allow only NPAC personnel to modify access rights to a resource.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall provide a mechanism to remove access rights to all software resources for a user or a group of users.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall identify the originator of any accessible system resources.,Security,npac.doc,1,Кирилл,,Other,Aydar,Not sure,,,,,,
NPAC SMS shall be able to identify the originator of any information received across communication channels.,Security,npac.doc,1,Кирилл,,Other,Aydar,Not sure,,,,,,
NPAC SMS NMS shall use SNMP to monitor the system resources.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS NMS shall use SNMP to detect error conditions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS NMS shall use SNMP to detect communication errors.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS NMS shall use SNMP to detect link outages.,Security,npac.doc,1,Кирилл,,Availability,Aydar,Not sure,,,,,,
NPAC SMS shall ensure proper rule checking on data update.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall handle duplicate/multiple inputs.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall check return status.,Security,npac.doc,1,Кирилл,,Operational,Aydar,,,,,,,
NPAC SMS shall validate inputs for reasonable values.,Security,npac.doc,1,Кирилл,,Operational,Aydar,Not sure,,,,,,
NPAC SMS shall ensure proper serialization of update transactions.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,Not sure,,,,,,
NPAC SMS shall include database integrity checking utilities for the NPAC SMS database.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall generate a security audit log that contains information sufficient for after the fact investigation of loss or impropriety for appropriate response, including pursuit of legal remedies.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall ensure that the security audit data is available on‑line for a minimum of 90 days.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall archive the security audit data off‑line for a minimum of two years.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
"NPAC SMS shall ensure that the user‑identification associated with any NPAC SMS request or activity is maintained, so that the initiating user can be traceable.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall protect the security audit log from unauthorized access.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that only authorized NPAC personnel can archive and delete any or all of the security audit log(s) as part of the archival process.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that the security audit control mechanisms are protected from unauthorized access.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall write a record to the security audit log for each invalid user authentication attempt.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall write a record to the security audit log for logins of NPAC users.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall write a record to the security audit log for security-controlled activities of NPAC users.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall write a record to the security audit log for unauthorized data access attempts.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall write a record to the security audit log for unauthorized NPAC SMS transaction functionality access attempts.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall ensure that NPAC audit capability cannot be disabled.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall ensure that for each recorded event, the audit log contains the following: Date and time of the event, User identification including relevant connection information, Type of event, Name of resources accessed or function performed, Success or failure of the event.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall record actual or attempted logins in audit logs after an NPAC‑tunable parameter threshold of consecutive login failures.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce exception reports on items relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce exception reports on users relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce exception reports on communication failures relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce summary reports on data items relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce summary reports on users relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce summary reports on communication failures relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce detailed reports on data items relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce detailed reports on users relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
NPAC SMS shall provide post‑collection audit analysis tools that can produce detailed reports on communication failures relating to system intrusions.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,Not sure,,,,,,
"NPAC SMS shall provide a capability to review a summary of the actions of any one or more users, including other NPAC users, based on individual user identity.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS shall provide tools for the NPAC to monitor the message passing activities to and from a specific network address as they occur.,Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
"NPAC SMS NMS shall provide a real-time mechanism to monitor the occurrence or accumulation of security auditable events. Where possible, NPAC SMS shall determine and execute the least disruptive action to terminate the event.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
NPAC SMS NMS shall notify the NPAC personnel immediately when security event thresholds are exceeded through the SNMP agent.,Security,npac.doc,1,Кирилл,,Other,Aydar,Not sure,,,,,,
"NPAC SMS shall ensure that no service provider action, either deliberate or accidental, should cause the system to be unavailable to other users.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall report conditions that would degrade service below a pre‑specified minimum, including high memory, CPU, network traffic, and disk space utilization.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,Security requirement?,,,,,,
NPAC SMS shall provide procedures or mechanisms to allow recovery after a system failure without a security compromise.,Security,npac.doc,1,Кирилл,,Availability,Aydar,,,,,,,
NPAC SMS shall have documented procedures for software backup.,Security,npac.doc,1,Кирилл,,Availability,Aydar,,,,,,,
NPAC SMS shall have documented procedures for data backup.,Security,npac.doc,1,Кирилл,,Availability,Aydar,,,,,,,
NPAC SMS shall have documented procedures for software restoration.,Security,npac.doc,1,Кирилл,,Availability,Aydar,,,,,,,
